C1:1
C2:1
C3:1
J1_DRIVER_1:1
J2_DRIVER_2:1
J3_ENCODER1:1
J4_SENSORES1:1
J5_SERVO1:1
J6_BATERIAS_18650:1
REF**:4
U1:1
U2:1
